song_name,artist,genre,popularity,release_date,music_link,track_id,image,duration_ms,explicit,external_urls,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Greatness,Quavo,Rap,60,24/02/2023,https://open.spotify.com/track/2eN0rxTtgxKkmVCNgizayr,2eN0rxTtgxKkmVCNgizayr,https://i.scdn.co/image/ab67616d0000b27374c78dff462a08d1cfc58c7e,185001,TRUE,https://open.spotify.com/track/2eN0rxTtgxKkmVCNgizayr,0.825,0.718,1,-2.896,1,0.0518,0.0732,0.000157,0.142,0.919,139.983
Patty Cake (feat. Takeoff),"Quavo, Takeoff",Rap,60,18/08/2023,https://open.spotify.com/track/485mSqbTvp0pdiK0UW2wbt,485mSqbTvp0pdiK0UW2wbt,https://i.scdn.co/image/ab67616d0000b27308af4a3bef56947c7b4ae707,133289,TRUE,https://open.spotify.com/track/485mSqbTvp0pdiK0UW2wbt,0.833,0.695,11,-5.395,0,0.18,0.0655,0,0.356,0.455,144.08
Real One (feat. Rich The Kid),"Quavo, Rich The Kid",Rap,57,08/03/2024,https://open.spotify.com/track/5iltqBmJh9uCPKtLjdRZya,5iltqBmJh9uCPKtLjdRZya,https://i.scdn.co/image/ab67616d0000b273cea2e8d7f129fd52e7021a51,166139,TRUE,https://open.spotify.com/track/5iltqBmJh9uCPKtLjdRZya,0.703,0.499,5,-8.195,0,0.441,0.278,0,0.144,0.215,175.015
Messy,"Quavo, Takeoff",Rap,58,07/10/2022,https://open.spotify.com/track/2V94lFkZ1IWnhxxLh4pzGu,2V94lFkZ1IWnhxxLh4pzGu,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,177395,TRUE,https://open.spotify.com/track/2V94lFkZ1IWnhxxLh4pzGu,0.832,0.574,11,-7.232,0,0.341,0.0741,0,0.109,0.464,152.919
WORKIN ME,Quavo,Rap,55,12/10/2018,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4,4MAsYGSgxsaj73dC2lvFC4,https://i.scdn.co/image/ab67616d0000b273a1fc738279f01eb8086fc44d,169657,TRUE,https://open.spotify.com/track/4MAsYGSgxsaj73dC2lvFC4,0.792,0.657,8,-4.245,1,0.191,0.205,4.10E-06,0.196,0.228,169.969
Greatness,Quavo,Rap,58,18/08/2023,https://open.spotify.com/track/5yemXFXSGZoTXNOjj3dbuz,5yemXFXSGZoTXNOjj3dbuz,https://i.scdn.co/image/ab67616d0000b27308af4a3bef56947c7b4ae707,185001,TRUE,https://open.spotify.com/track/5yemXFXSGZoTXNOjj3dbuz,0.821,0.71,1,-3.007,1,0.0559,0.0739,9.61E-05,0.143,0.911,139.947
Nothing Changed,"Quavo, Takeoff",Rap,58,07/10/2022,https://open.spotify.com/track/37If4sC0Si28T6z63qhR5z,37If4sC0Si28T6z63qhR5z,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,199111,TRUE,https://open.spotify.com/track/37If4sC0Si28T6z63qhR5z,0.876,0.551,5,-6.872,0,0.0992,0.233,0,0.185,0.685,134.946
Chocolate (feat. Young Thug and Gunna),"Quavo, Takeoff, Young Thug, Gunna",Rap,55,07/10/2022,https://open.spotify.com/track/6PvHZ5vVjUhngh0t3pIsPc,6PvHZ5vVjUhngh0t3pIsPc,https://i.scdn.co/image/ab67616d0000b273ffe5b62233340cb6d453fc2f,208372,TRUE,https://open.spotify.com/track/6PvHZ5vVjUhngh0t3pIsPc,0.854,0.611,1,-6.824,0,0.228,0.2,0,0.19,0.728,129.003
Us vs. Them (feat. Gucci Mane),"Quavo, Takeoff, Gucci Mane",Rap,54,29/07/2022,https://open.spotify.com/track/6x3gud5JkOSGYJpRUYN1Gg,6x3gud5JkOSGYJpRUYN1Gg,https://i.scdn.co/image/ab67616d0000b2730a4126e7a0327ffa1c41c1f5,216013,TRUE,https://open.spotify.com/track/6x3gud5JkOSGYJpRUYN1Gg,0.726,0.508,1,-7.67,1,0.0869,0.00124,0,0.204,0.173,149.979
HOTEL LOBBY (Unc & Phew) - A COLORS SHOW,"Quavo, Takeoff",Rap,61,18/06/2022,https://open.spotify.com/track/1qA7crrPzO702kDZgRAhyk,1qA7crrPzO702kDZgRAhyk,https://i.scdn.co/image/ab67616d0000b27319e2462d9211bade93d05419,165581,TRUE,https://open.spotify.com/track/1qA7crrPzO702kDZgRAhyk,0.859,0.548,10,-6.59,0,0.197,0.041,0,0.204,0.112,127.958
