song_name,artist,genre,popularity,release_date,music_link,track_id,image
Ostatnia nadzieja,Głowa PMM,rap,10,2022-02-25,https://open.spotify.com/track/7E9FmoYuEU03jZ4c0lWoft,7E9FmoYuEU03jZ4c0lWoft,https://i.scdn.co/image/ab67616d0000b2730884b01ba8ef177940b6fa5e
Återvändsgränd,Daniela Rathana,rap,0,2023-10-11,https://open.spotify.com/track/2M0rwYUa2fLHxqDNZ7jEw1,2M0rwYUa2fLHxqDNZ7jEw1,https://i.scdn.co/image/ab67616d0000b27333377d9ed9ccb63306649e8f
Perreito,Mariah Angeliq,rap,0,2023-09-22,https://open.spotify.com/track/0JYhUGvMKM7XmHH1zMxklA,0JYhUGvMKM7XmHH1zMxklA,https://i.scdn.co/image/ab67616d0000b27360ab440707d7a8c488ede0d3
PIRATE BRODOWN,Big Gay,rap,21,2021-10-30,https://open.spotify.com/track/0cv6YsZi3Zr5hNIvhpIQHB,0cv6YsZi3Zr5hNIvhpIQHB,https://i.scdn.co/image/ab67616d0000b2738a0b62cdb8c15fc1afef7a50
Here Am I,JR Writer,rap,4,2021-10-28,https://open.spotify.com/track/2ebR4SAMzhjfjZuqhqxbrA,2ebR4SAMzhjfjZuqhqxbrA,https://i.scdn.co/image/ab67616d0000b2730e49fe3ca7de2c905373dd29
Questions,Mathias.,rap,8,2021-11-19,https://open.spotify.com/track/4KoMBzawJpD6fSxNFPk5oO,4KoMBzawJpD6fSxNFPk5oO,https://i.scdn.co/image/ab67616d0000b273f940950c70296c0080a94c7b
Going Bad,Meek Mill,rap,3,2022-06-17,https://open.spotify.com/track/2suFH1XzQsSwQXilGMe629,2suFH1XzQsSwQXilGMe629,https://i.scdn.co/image/ab67616d0000b2736b22b24302e97d06c3bf8b86
OPPS,Blvd Bizz,rap,20,2021-02-27,https://open.spotify.com/track/3sGO1VGwkPaVYIB5Vbz7kT,3sGO1VGwkPaVYIB5Vbz7kT,https://i.scdn.co/image/ab67616d0000b2730bc098f0c6ef7a85850eee94
Killing The Rats,Kodak Black,rap,23,2021-10-14,https://open.spotify.com/track/1j3hiXzx3mkzhaBhDLQ89T,1j3hiXzx3mkzhaBhDLQ89T,https://i.scdn.co/image/ab67616d0000b27336781a3899a2e4884633d395
Borrachos(El beliko),comando 21 de la plebe MEX,rap,1,2020-12-14,https://open.spotify.com/track/4UefC1yR5xdoafcaC7yeBV,4UefC1yR5xdoafcaC7yeBV,https://i.scdn.co/image/ab67616d0000b2735315a82b50f020be5b95a133
Bandolero,Pekeño 77,rap,14,2021-09-03,https://open.spotify.com/track/58GhQBfhLbcnVDUu5jdWfq,58GhQBfhLbcnVDUu5jdWfq,https://i.scdn.co/image/ab67616d0000b2737cd283d52f5d8f05694a3a82
reiwa freestyle,Moment Joon,rap,0,2020-02-28,https://open.spotify.com/track/7oJYnh4XYk5KtZO09H1X0y,7oJYnh4XYk5KtZO09H1X0y,https://i.scdn.co/image/ab67616d0000b273cb50864430a552ddf5304a7a
Picture Me Rollin',Killswitch,rap,1,2021-01-29,https://open.spotify.com/track/6NpoVpQru9z5clpvOpY3my,6NpoVpQru9z5clpvOpY3my,https://i.scdn.co/image/ab67616d0000b27396542bd0940c16ae31c429fa
Sem Desistir,Sonhador Rap Motivação,rap,10,2020-11-21,https://open.spotify.com/track/6PMsVwIL49xhpE1ZmRQQDq,6PMsVwIL49xhpE1ZmRQQDq,https://i.scdn.co/image/ab67616d0000b27342bff3f7d6ce0415a1d720f0
Polos Opuestos,Kevin El Autorizado,rap,5,2023-06-15,https://open.spotify.com/track/2wOZZHrRKe0NUfThmQsJTK,2wOZZHrRKe0NUfThmQsJTK,https://i.scdn.co/image/ab67616d0000b273b0b522797577c85fa862fd76
Hola Que Tal,Zafiro Rap,rap,23,2020-07-15,https://open.spotify.com/track/3vXBMvbCOdYqrYkLlq5dSd,3vXBMvbCOdYqrYkLlq5dSd,https://i.scdn.co/image/ab67616d0000b2734f7214832b6d2be7ace36b58
Hoy Me Vuelvo Solo - Chef Cheeza Remix,Latex Diamond,rap,1,2021-12-21,https://open.spotify.com/track/55sVxRtMxeiawQpsI3FZN6,55sVxRtMxeiawQpsI3FZN6,https://i.scdn.co/image/ab67616d0000b2732765b9520421b53f5a698141
DADDY ISCH ANDERST,L Loko,rap,26,2024-02-02,https://open.spotify.com/track/6EgS4881D14FXe5pvsTxZW,6EgS4881D14FXe5pvsTxZW,https://i.scdn.co/image/ab67616d0000b273644a93d6f9a942e7fa069135
DAWASALKAPOT,Nag,rap,15,2024-03-10,https://open.spotify.com/track/3LKZ32UWypedOMIaygl1Hq,3LKZ32UWypedOMIaygl1Hq,https://i.scdn.co/image/ab67616d0000b273af5e8d0d66d7eac5b22f365b
