song_name,artist,genre,popularity,release_date,music_link,track_id
Latin Guitar Soundtrack for Sweet Skies,Cafe Jazz Tokyo,jazz,0,2022-09-23,https://open.spotify.com/track/5ho9B3jvrQqf64SgFHEJlK,5ho9B3jvrQqf64SgFHEJlK
Trio Jazz Soundtrack for Calming Days,Background Jazz Music,jazz,0,2022-05-10,https://open.spotify.com/track/06h6bj1bcbVmna6xCCHMK6,06h6bj1bcbVmna6xCCHMK6
Cold Cold Heart,Dinah Washington,jazz,0,2022-08-01,https://open.spotify.com/track/5X5oaEQckezZ8Ox3x92l7w,5X5oaEQckezZ8Ox3x92l7w
Vocal Midday,Jazz Cafe Compilations,jazz,0,2023-08-21,https://open.spotify.com/track/5E46luOWstcmm9PZtGs9cI,5E46luOWstcmm9PZtGs9cI
Joyful Backdrops for Energetic Waves,Bossa Cafe Deluxe,jazz,0,2023-01-17,https://open.spotify.com/track/0GS0nXkanWIxScoP6Eh2Mb,0GS0nXkanWIxScoP6Eh2Mb
Vintage Days at Work,Hotel Lobby Jazz Group,jazz,0,2022-07-10,https://open.spotify.com/track/7zlf3BPCIausDSSK9Ln47r,7zlf3BPCIausDSSK9Ln47r
Scintillating Ambience for Those Summer Feels,Cafe Jazz Duo,jazz,0,2022-08-18,https://open.spotify.com/track/2NRzqT8CV5uvrcfSBgVOVS,2NRzqT8CV5uvrcfSBgVOVS
Relaxing (Music),Upbeat Morning Music,jazz,0,2022-12-02,https://open.spotify.com/track/0af54U0hVcvMndlKxECdC5,0af54U0hVcvMndlKxECdC5
Session Process,Jazz Study Cafe,jazz,0,2023-11-20,https://open.spotify.com/track/3sEAuimoXkyrOaQVpsdBXi,3sEAuimoXkyrOaQVpsdBXi
Background for Mystical Novembers,Saturday Morning Jazz Playlist,jazz,0,2023-03-22,https://open.spotify.com/track/0dbZBcb1G16zTj8YSMcipj,0dbZBcb1G16zTj8YSMcipj
Divine Ambiance for Tropical Getaways,Easy Listening Background Music,jazz,0,2022-07-01,https://open.spotify.com/track/7zUbJu6nNHYnjehSNujn7f,7zUbJu6nNHYnjehSNujn7f
Beautiful Instrumental for Working at Home,Late Night Jazz Lounge,jazz,0,2020-04-23,https://open.spotify.com/track/2j7Tr87HFvYw2TXaluK3OC,2j7Tr87HFvYw2TXaluK3OC
Fabulous Moods for April Strength,Paolo Igor Mendoza Bossa Nova,jazz,0,2022-04-12,https://open.spotify.com/track/0ynNRo2HWbGbvnNgMkxxpN,0ynNRo2HWbGbvnNgMkxxpN
Track Romantic,Café Jazz Jam 101,jazz,0,2024-01-01,https://open.spotify.com/track/2IDjl4WFRXy0zgy6zqdhQp,2IDjl4WFRXy0zgy6zqdhQp
Stylish Spring Days,Jazz Music Lounge,jazz,0,2022-04-16,https://open.spotify.com/track/5EKD4mzyCwSkoG6JKz7Ylv,5EKD4mzyCwSkoG6JKz7Ylv
Bossa Nova Piano Duo Soundtrack for Smooth Timbers,Chef Jazz,jazz,0,2022-11-18,https://open.spotify.com/track/4WdWj5BLTuFfiCgYNl20xO,4WdWj5BLTuFfiCgYNl20xO
Dinner Thoughtful,Piano Lounge Smooth Jazz,jazz,0,2023-08-18,https://open.spotify.com/track/13SbpTI0lbjEfC6bsr8mIJ,13SbpTI0lbjEfC6bsr8mIJ
Extraordinary Moods for Lonely Days,Sunday Morning Jazz Playlist,jazz,0,2020-10-02,https://open.spotify.com/track/4rRuMeGOfQ0IwgUSKhfO0F,4rRuMeGOfQ0IwgUSKhfO0F
Unique Ambience for Running Souls,Paolo Igor Mendoza Bossa Nova,jazz,0,2023-03-02,https://open.spotify.com/track/30nxkuDSaUNhFmJJiQVZmh,30nxkuDSaUNhFmJJiQVZmh
What He Didn't Do,Carly Pearce,country,15,2022-11-18,https://open.spotify.com/track/2SfZMAKlopYv0BpZPeAgQT,2SfZMAKlopYv0BpZPeAgQT
Ride the Lightning (717 Tapes),Warren Zeiders,country,7,2023-03-08,https://open.spotify.com/track/2LSBL5tE3MoDOKcPvUjUCR,2LSBL5tE3MoDOKcPvUjUCR
Happy & Sad,Kacey Musgraves,country,0,2021-07-16,https://open.spotify.com/track/0yZcyupFnvkwOZ38fHQYEQ,0yZcyupFnvkwOZ38fHQYEQ
Anne Devlin,Bernie Heaney,country,1,2022-12-18,https://open.spotify.com/track/4mERxALDGhTYjYMbVfS1ci,4mERxALDGhTYjYMbVfS1ci
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,country,2,2020-06-05,https://open.spotify.com/track/7EY7Km3ol9MBetLXQDrS8L,7EY7Km3ol9MBetLXQDrS8L
"Hey Child [Feat. Adia Victoria, Allison Russell, & Kam Franklin] - Live From The Other Side",Margo Price,country,5,2021-07-16,https://open.spotify.com/track/1plnRcmMpFagjGRutv3e2O,1plnRcmMpFagjGRutv3e2O
Giddy Up!,Shania Twain,country,16,2023-02-03,https://open.spotify.com/track/2vSppn9zPbzCAIqCp0EBmS,2vSppn9zPbzCAIqCp0EBmS
The Christmas Song,Chris Young,country,0,2022-10-28,https://open.spotify.com/track/5OkvBVgkukLNzpm4P8QCsK,5OkvBVgkukLNzpm4P8QCsK
Amanda - Live,Steve Hofmeyr,country,5,2020-08-07,https://open.spotify.com/track/5cLyXS3cZbG2jmMVXO1APN,5cLyXS3cZbG2jmMVXO1APN
Once in a while,Sun June,country,14,2021-02-05,https://open.spotify.com/track/3DpkQxWQepwgp9IEf7s8ho,3DpkQxWQepwgp9IEf7s8ho
Cumbia Peninsula,Calexico,country,15,2022-04-08,https://open.spotify.com/track/7eL3GDrQqEokDmc6l9fKhK,7eL3GDrQqEokDmc6l9fKhK
Bringin' It Home,George Jones,country,1,2022-07-12,https://open.spotify.com/track/6QuPABYbUHzwbVaZFeXnqk,6QuPABYbUHzwbVaZFeXnqk
The Gothest Girl I Can,Corb Lund,country,15,2021-01-22,https://open.spotify.com/track/3G5nESMEsndGy7p209jqcj,3G5nESMEsndGy7p209jqcj
Someday I Gotta Quit,Justin Moore,country,1,2022-03-04,https://open.spotify.com/track/37yXbkgWhbenCrAVHCvcj3,37yXbkgWhbenCrAVHCvcj3
The Sad Songs,Jason Aldean,country,37,2021-11-12,https://open.spotify.com/track/33fThH4OuzbZCAuKG8F9jz,33fThH4OuzbZCAuKG8F9jz
Ole Miss,Lauren Watkins,country,34,2023-04-21,https://open.spotify.com/track/6MrBlV3qntjmstAXDudrew,6MrBlV3qntjmstAXDudrew
It Matters To Her,Scotty McCreery,country,26,2022-11-18,https://open.spotify.com/track/471p8kgBoPAYmdoD36DWAr,471p8kgBoPAYmdoD36DWAr
Santa Claus is Lookin' for Love,Johnny Lee,country,2,2021-10-29,https://open.spotify.com/track/4x6nBojAiR6r6hiBXJcLVO,4x6nBojAiR6r6hiBXJcLVO
Sad Cactus,Tyler Dial,country,6,2023-07-14,https://open.spotify.com/track/4ahhmbuFXoQL3m7DjyJ17F,4ahhmbuFXoQL3m7DjyJ17F
The Year of the Rabbit,Sam Newton,country,2,2023-06-23,https://open.spotify.com/track/6o8hNst34XnUWpKK0hzExu,6o8hNst34XnUWpKK0hzExu
Searching the Desert for the Blues,Blind Willie McTell,country,0,2020-12-04,https://open.spotify.com/track/0892Wi6hYNRRcQ0jrCrUq1,0892Wi6hYNRRcQ0jrCrUq1
Get Enough,Sun June,country,3,2023-09-26,https://open.spotify.com/track/1mXmZ8oZzeV0wAN1ozKRIt,1mXmZ8oZzeV0wAN1ozKRIt
The Weight - Live,The Band,country,2,2021-10-01,https://open.spotify.com/track/4P6DwW6PFPbHMEjPCc86gj,4P6DwW6PFPbHMEjPCc86gj
Want Me (Live Acoustic),Devin Cooper,country,1,2022-03-25,https://open.spotify.com/track/4cRLeTDsqLNRkHMafChnLK,4cRLeTDsqLNRkHMafChnLK
Honey Child - Acoustic,Julia Cole,country,2,2020-07-31,https://open.spotify.com/track/5ryUwkaOvEnM0F8Q80hZr8,5ryUwkaOvEnM0F8Q80hZr8
Narcissist,Avery Anna,country,22,2022-04-29,https://open.spotify.com/track/1Lj68fo6FaTBW5uYopfYoz,1Lj68fo6FaTBW5uYopfYoz
The Matador,Trisha Yearwood,country,9,2021-08-13,https://open.spotify.com/track/7MYz0bAuJbB72RYajDJXaq,7MYz0bAuJbB72RYajDJXaq
Big Yabbies From The Creek,Slim Dusty,country,10,2021-08-20,https://open.spotify.com/track/1Mo2gZ3wxt5QIDP5IDmIm5,1Mo2gZ3wxt5QIDP5IDmIm5
when we were friends,Alana Springsteen,country,17,2023-10-27,https://open.spotify.com/track/2O9gIwXQAVDhbTafbjdgEc,2O9gIwXQAVDhbTafbjdgEc
Le sablier,Carl Bastien,country,0,2020-08-14,https://open.spotify.com/track/0HRP9SAcTXTVFZR0nYhLxv,0HRP9SAcTXTVFZR0nYhLxv
Amor Oscuro,Ignorancia Sofisticada,rap,2,2022-04-29,https://open.spotify.com/track/3Myeo2eBVbVBh522YfMsbj,3Myeo2eBVbVBh522YfMsbj
Dicrim,Rochy RD,rap,19,2023-09-02,https://open.spotify.com/track/5qbQnkfnGrHexrwXjMow67,5qbQnkfnGrHexrwXjMow67
GUY,Ifex G,rap,6,2022-12-26,https://open.spotify.com/track/5bHStJuFxdG7h0RzlXOz3u,5bHStJuFxdG7h0RzlXOz3u
Miénteme,Mariah Angeliq,rap,0,2023-10-27,https://open.spotify.com/track/3654er9Av3ulCY2kZJ31Iv,3654er9Av3ulCY2kZJ31Iv
P Power,Gunna,rap,10,2023-06-30,https://open.spotify.com/track/3xDcW4YTIAf6FXOEFzjDkr,3xDcW4YTIAf6FXOEFzjDkr
KYUN,RvD,rap,16,2022-01-29,https://open.spotify.com/track/0othUHAKX6bRWZYHmsSHm1,0othUHAKX6bRWZYHmsSHm1
My Love,Shaboozey,rap,40,2022-10-07,https://open.spotify.com/track/6hXdDiZeoe2r6qspLCjMoZ,6hXdDiZeoe2r6qspLCjMoZ
MAIN ROLE,Booka600,rap,0,2023-03-03,https://open.spotify.com/track/2L4V5VBb9NcsAOepF6264A,2L4V5VBb9NcsAOepF6264A
All the Way,Yung Martez,rap,0,2020-03-23,https://open.spotify.com/track/3SRGSlteMZPD9m2SSL6X2f,3SRGSlteMZPD9m2SSL6X2f
Hop Out The Vette,TrapGoKrazy,rap,0,2021-09-12,https://open.spotify.com/track/1SoCR1n7h9ZwU7OnxHrIHL,1SoCR1n7h9ZwU7OnxHrIHL
Outro,Disiden,rap,0,2020-02-12,https://open.spotify.com/track/1U4YYx5TYR9kn9xKcBM6g0,1U4YYx5TYR9kn9xKcBM6g0
